cluster_kmeans,recomendacion_comercial
0,"Clúster 0: orientar campañas de upselling y cross-selling, buscando elevar el valor promedio del segmento. El perfil de mayor edad sugiere comunicación más personalizada y propuestas de valor claras."
1,"Clúster 1: aplicar campañas de activación, promociones específicas y estrategias de conversión para incrementar el gasto. El perfil relativamente más joven sugiere canales digitales y comunicación más dinámica. El tamaño familiar relativamente alto permite explorar ofertas familiares o paquetes conjuntos."
2,"Clúster 2: aplicar campañas de activación, promociones específicas y estrategias de conversión para incrementar el gasto."
